Ring, Position, Color, Value
#    #    #    #
1 1 SpringGreen 1.000000
2 1 SpringGreen 1.000000
2 2 SpringGreen 1.000000
2 3 SpringGreen 1.000000
2 4 SpringGreen 1.000000
2 5 SpringGreen 1.000000
2 6 SpringGreen 1.000000
3 1 SpringGreen 1.000000
3 2 SpringGreen 1.000000
3 3 SpringGreen 1.000000
3 4 SpringGreen 1.000000
3 5 SpringGreen 1.000000
3 6 SpringGreen 1.000000
3 7 SpringGreen 1.000000
3 8 SpringGreen 1.000000
3 9 SpringGreen 1.000000
3 10 SpringGreen 1.000000
3 11 SpringGreen 1.000000
3 12 SpringGreen 1.000000
4 1 SpringGreen 2.000000
4 2 SpringGreen 2.000000
4 3 SpringGreen 1.000000
4 4 SpringGreen 2.000000
4 5 SpringGreen 1.000000
4 6 SpringGreen 1.000000
4 7 SpringGreen 2.000000
4 8 SpringGreen 2.000000
4 9 SpringGreen 1.000000
4 10 SpringGreen 2.000000
4 11 SpringGreen 1.000000
4 12 SpringGreen 1.000000
4 13 SpringGreen 2.000000
4 14 SpringGreen 2.000000
4 15 SpringGreen 1.000000
4 16 SpringGreen 2.000000
4 17 SpringGreen 1.000000
4 18 SpringGreen 1.000000
5 1 SpringGreen 3.000000
5 2 SpringGreen 2.000000
5 3 SpringGreen 2.000000
5 4 SpringGreen 2.000000
5 5 SpringGreen 2.000000
5 6 SpringGreen 2.000000
5 7 SpringGreen 2.000000
5 8 SpringGreen 2.000000
5 9 SpringGreen 3.000000
5 10 SpringGreen 2.000000
5 11 SpringGreen 2.000000
5 12 SpringGreen 2.000000
5 13 SpringGreen 3.000000
5 14 SpringGreen 2.000000
5 15 SpringGreen 2.000000
5 16 SpringGreen 2.000000
5 17 SpringGreen 3.000000
5 18 SpringGreen 2.000000
5 19 SpringGreen 2.000000
5 20 SpringGreen 2.000000
5 21 SpringGreen 3.000000
5 22 SpringGreen 2.000000
5 23 SpringGreen 2.000000
5 24 SpringGreen 2.000000
6 1 SpringGreen 4.000000
6 2 SpringGreen 3.000000
6 3 SpringGreen 3.000000
6 4 SpringGreen 3.000000
6 5 SpringGreen 3.000000
6 6 SpringGreen 4.000000
6 7 SpringGreen 3.000000
6 8 SpringGreen 3.000000
6 9 SpringGreen 3.000000
6 10 SpringGreen 3.000000
6 11 SpringGreen 4.000000
6 12 SpringGreen 3.000000
6 13 SpringGreen 3.000000
6 14 SpringGreen 3.000000
6 15 SpringGreen 3.000000
6 16 SpringGreen 4.000000
6 17 SpringGreen 3.000000
6 18 SpringGreen 3.000000
6 19 SpringGreen 3.000000
6 20 SpringGreen 3.000000
6 21 SpringGreen 4.000000
6 22 SpringGreen 3.000000
6 23 SpringGreen 3.000000
6 24 SpringGreen 3.000000
6 25 SpringGreen 3.000000
6 26 SpringGreen 4.000000
6 27 SpringGreen 4.000000
6 28 SpringGreen 3.000000
6 29 SpringGreen 3.000000
6 30 SpringGreen 3.000000
7 1 SpringGreen 5.000000
7 2 SpringGreen 5.000000
7 3 SpringGreen 4.000000
7 4 SpringGreen 4.000000
7 5 SpringGreen 4.000000
7 6 SpringGreen 5.000000
7 7 SpringGreen 5.000000
7 8 SpringGreen 4.000000
7 9 SpringGreen 4.000000
7 10 SpringGreen 4.000000
7 11 SpringGreen 4.000000
7 12 SpringGreen 5.000000
7 13 SpringGreen 5.000000
7 14 SpringGreen 5.000000
7 15 SpringGreen 4.000000
7 16 SpringGreen 4.000000
7 17 SpringGreen 4.000000
7 18 SpringGreen 5.000000
7 19 SpringGreen 5.000000
7 20 SpringGreen 5.000000
7 21 SpringGreen 4.000000
7 22 SpringGreen 4.000000
7 23 SpringGreen 4.000000
7 24 SpringGreen 4.000000
7 25 SpringGreen 5.000000
7 26 SpringGreen 5.000000
7 27 SpringGreen 4.000000
7 28 SpringGreen 4.000000
7 29 SpringGreen 4.000000
7 30 SpringGreen 5.000000
7 31 SpringGreen 5.000000
7 32 SpringGreen 4.000000
7 33 SpringGreen 4.000000
7 34 SpringGreen 4.000000
7 35 SpringGreen 4.000000
7 36 SpringGreen 5.000000
8 1 SpringGreen 7.000000
8 2 SpringGreen 6.000000
8 3 SpringGreen 6.000000
8 4 SpringGreen 5.000000
8 5 SpringGreen 5.000000
8 6 SpringGreen 6.000000
8 7 SpringGreen 6.000000
8 8 SpringGreen 7.000000
8 9 SpringGreen 6.000000
8 10 SpringGreen 6.000000
8 11 SpringGreen 5.000000
8 12 SpringGreen 5.000000
8 13 SpringGreen 6.000000
8 14 SpringGreen 6.000000
8 15 SpringGreen 7.000000
8 16 SpringGreen 6.000000
8 17 SpringGreen 6.000000
8 18 SpringGreen 5.000000
8 19 SpringGreen 5.000000
8 20 SpringGreen 6.000000
